"longitude","latitude","category","name",,
"-77.0964 "," 38.8867","Restaurant","Eventide",,
"-77.0959 "," 38.88701","Restaurant","Kabob Bazaar",,
"-77.09582 "," 38.88708","Restaurant","Rien Tong Thai Cuisine",,
"-77.09181 "," 38.88718","Restaurant","Tandoori Nights",,
"-77.09478 "," 38.88723","Restaurant","Delhi Club",,
"-77.09193 "," 38.88724","Restaurant","Bertucci's",,
"-77.09382 "," 38.88739","Restaurant","Restaurant 3",,
"-77.0948 "," 38.88745","Restaurant","Hard Times Cafe",,
"-77.09323 "," 38.88767","Cafe","Le Pain Quotidien",,
"-77.09329 "," 38.88797","Restaurant","The Cheesecake Factory",,
"-77.09395 "," 38.88842","Restaurant","Mexicali Blues",,
"-77.09336 "," 38.88846","Restaurant","La Tasca",,
"-77.08827 "," 38.90894","district_of_columbia_Eating_Drin",,,
"-77.0964 "," 38.88848","district_of_columbia_Eating_Drin",,,
"-77.0937 "," 38.88857","Pub","RiRa",,
"-77.0931 "," 38.88857","Restaurant","Whitlow's on Wilson",,
"-77.09349 "," 38.88867","Restaurant","Faccia Luna Trattoria",,
"-77.09336 "," 38.88873","Restaurant","Boulevard Woodgrill",,
"-77.09254 "," 38.88882","Cafe","Iota club & Cafe",,
"-77.09145 "," 38.88955","Restaurant","East West Grill",,
"-77.09116 "," 38.88964","Pub","Galaxy Hut",,
"-77.09007 "," 38.88997","Restaurant","Earl's Sandwiches",,
"-77.08846 "," 38.89035","Fast Food Restaurant","Papa John's",,
"-77.08827 "," 38.89039","Restaurant","Dehli Dhaba",,
"-77.08903 "," 38.89078","Cafe","Java Shack",,
"-77.08915 "," 38.89079","Pub","The Spot",,
"-77.09637 "," 38.89676","Restaurant","The Italian Store",,
"-77.06329 "," 38.907","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.74524","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.89116","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.74524","district_of_columbia_Eating_Drin",,,
"-77.08437 "," 38.74524","Fast Food Restaurant","Popeyes",,
"-77.06475 "," 38.80378","Restaurant","Pasara",,
"-77.08668 "," 38.80856","Fast Food Restaurant","Baja Fresh",,
"-77.08662 "," 38.80878","Restaurant","Oriental Star",,
"-77.08661 "," 38.80881","Fast Food Restaurant","Z Pizza",,
"-77.08659 "," 38.80885","Fast Food Restaurant","Quiznos",,
"-77.08614 "," 38.80903","Fast Food Restaurant","Panera Bread",,
"-77.08734 "," 38.86237","Pub","Lost Dog Cafe",,
"-77.08724 "," 38.86238","Pub","P Brennan's Irish Pub",,
"-77.08768 "," 38.86256","Restaurant","Bangkok 54",,
"-77.08823 "," 38.86269","Pub","Abi Azteca Grill",,
"-77.08665 "," 38.86279","Pub","Twisted Vines",,
"-77.08827 "," 38.86282","Restaurant","El Puerto Seafood House",,
"-77.06329 "," 38.89098","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.86326","district_of_columbia_Eating_Drin",,,
"-77.08222 "," 38.8636","Restaurant","Bob and Edith's Diner",,
"-77.07094 "," 38.87576","Drinking water source",,,
"-77.07329 "," 38.87618","Drinking water source",,,
"-77.07325 "," 38.87669","Drinking water source",,,
"-77.07364 "," 38.87735","Drinking water source",,,
"-77.07333 "," 38.87916","Drinking water source",,,
"-77.07687 "," 38.88005","Drinking water source",,,
"-77.07288 "," 38.88148","Drinking water source",,,
"-77.07127 "," 38.88343","Drinking water source",,,
"-77.06684 "," 38.88716","Drinking water source",,,
"-77.08626 "," 38.88964","Restaurant","Sawadtee",,
"-77.07061 "," 38.88981","Drinking water source",,,
"-77.08679 "," 38.89006","Restaurant","Velocity Five Sports Restaurant",,
"-77.06329 "," 38.89518","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.89022","district_of_columbia_Eating_Drin",,,
"-77.08819 "," 38.89043","Fast Food Restaurant","Subway",,
"-77.0873 "," 38.89064","Fast Food Restaurant","Five Guys",,
"-77.08669 "," 38.89058","Restaurant","Ray's the Steaks",,
"-77.08601 "," 38.89022","Cafe","Starbucks",,
"-77.08587 "," 38.89026","Fast Food Restaurant","Perfect Pita",,
"-77.08561 "," 38.89029","Drinking water source",,,
