om,year,month,day,date,time,timezone,state,st_fips,state_num,fscale,injuries,fatalities,property_loss,crop_loss,start_lat,start_lon,end_lat,end_lon,length,width,ns,sn,sg,cfips1,cfips2,cfips3,cfips4
518,2010,6,2,6/2/2010,22:15:00,3,TX,48,65,0,0,0,0,0.001,27.6343,-97.4542,27.6374,-97.4474,0.47,20,1,1,1,355,0,0,0
519,2010,6,2,6/2/2010,22:18:00,3,TX,48,66,0,0,0,0,0.001,28.1846,-97.2825,28.1829,-97.2788,0.25,20,1,1,1,391,0,0,0
520,2010,6,2,6/2/2010,22:34:00,3,TX,48,67,2,0,0,0.25,0,28.0499,-97.1254,28,-97.1006,3.76,500,1,1,1,7,0,0,0
521,2010,6,3,6/3/2010,12:06:00,3,IL,17,9,0,0,0,0,0,39.4879,-89.2533,39.4881,-89.2514,0.1,15,1,1,1,21,0,0,0
522,2010,6,3,6/3/2010,17:30:00,3,NE,31,13,0,0,0,0,0,41.3505,-99.5197,41.351,-99.5189,0.1,10,1,1,1,41,0,0,0
523,2010,6,4,6/4/2010,4:37:00,3,LA,22,9,0,0,0,0,0,29.7916,-91.7025,29.7916,-91.7025,0.01,10,1,1,1,101,0,0,0
524,2010,6,4,6/4/2010,4:47:00,3,LA,22,10,0,0,0,0.002,0,29.8668,-91.6447,29.8792,-91.6351,1.03,25,1,1,1,101,0,0,0
525,2010,6,4,6/4/2010,17:20:00,3,MO,29,32,0,0,0,0,0,40.05,-92.84,40.05,-92.84,0.1,20,1,1,1,1,0,0,0
526,2010,6,4,6/4/2010,17:27:00,3,MO,29,33,0,0,0,0,0,39.92,-92.74,39.92,-92.74,0.1,20,1,1,1,121,0,0,0
527,2010,6,4,6/4/2010,18:55:00,3,IN,18,1,0,0,0,0,0,40.7807,-87.0158,40.7813,-87.0143,0.09,20,1,1,1,181,0,0,0
528,2010,6,5,6/5/2010,11:46:00,3,OH,39,8,0,0,0,0.035,0,40.7395,-82.4387,40.7358,-82.4317,0.45,20,1,1,1,139,0,0,0
529,2010,6,5,6/5/2010,12:30:00,3,VT,50,1,1,0,0,0.025,0,44.62,-72.42,44.61,-72.38,2.09,83,1,1,1,19,0,0,0
530,2010,6,5,6/5/2010,12:40:00,3,OH,39,9,1,0,0,0.55,0,40.57,-81.82,40.5002,-81.5937,12.84,100,1,1,1,75,157,0,0
531,2010,6,5,6/5/2010,14:14:00,3,NH,33,1,0,0,0,0,0,44.3996,-71.22,44.3996,-71.22,0.1,40,1,1,1,7,0,0,0
532,2010,6,5,6/5/2010,15:19:00,3,ME,23,2,1,0,0,0,0,44.2072,-70.4637,44.1729,-70.3937,4.2,300,1,1,1,17,0,0,0
533,2010,6,5,6/5/2010,17:11:00,3,IA,19,3,0,0,0,0,0,41.2995,-93.789,41.2956,-93.7679,1.13,30,1,1,1,181,0,0,0
534,2010,6,5,6/5/2010,18:34:00,3,IL,17,10,0,0,0,0,0.002,40.8345,-90.3554,40.8346,-90.3537,0.09,10,1,1,1,95,0,0,0
535,2010,6,5,6/5/2010,18:40:00,3,IA,19,4,1,1,0,0.25,0,42.0834,-90.6883,42.0752,-90.6467,2.2,150,1,1,1,97,0,0,0
536,2010,6,5,6/5/2010,18:56:00,3,IL,17,11,2,0,0,0.42,0.05,40.801,-90.0919,40.782,-89.9856,5.71,50,1,1,1,95,0,0,0
537,2010,6,5,6/5/2010,19:00:00,3,IA,19,5,0,0,0,0,0,42.0048,-90.3729,42.0042,-90.3647,0.43,100,1,1,1,45,0,0,0
538,2010,6,5,6/5/2010,19:04:00,3,IL,17,12,2,0,0,85,0,40.782,-89.9856,40.7765,-89.9461,2.1,50,1,1,1,143,0,0,0
539,2010,6,5,6/5/2010,19:10:00,3,IL,17,13,2,0,0,1.005,0,41.1289,-89.3142,41.1112,-89.1371,10.29,880,1,1,1,155,99,0,0
540,2010,6,5,6/5/2010,19:10:00,3,IL,17,14,1,0,0,0.085,0,40.7732,-89.9174,40.7694,-89.8247,4.86,100,1,1,1,143,0,0,0
541,2010,6,5,6/5/2010,19:18:00,3,IL,17,15,1,0,0,0.17,0,40.7616,-89.8175,40.756,-89.7437,3.88,75,1,1,1,143,0,0,0
542,2010,6,5,6/5/2010,19:32:00,3,IL,17,16,0,0,0,0,0,41.3269,-88.9365,41.3272,-88.9324,0.21,50,1,1,1,99,0,0,0
543,2010,6,5,6/5/2010,19:32:00,3,IL,17,17,0,0,0,0.1,0,40.7652,-89.67,40.7676,-89.6315,2.02,100,1,1,1,143,0,0,0
544,2010,6,5,6/5/2010,19:34:00,3,IL,17,18,2,17,0,7.04,0,41.1005,-89.0869,41.1087,-88.7496,17.62,800,1,1,1,123,99,0,0
545,2010,6,5,6/5/2010,19:50:00,3,IL,17,19,0,0,0,0,0,41.1171,-88.8841,41.1172,-88.8812,0.15,20,1,1,1,99,0,0,0
546,2010,6,5,6/5/2010,19:51:00,3,IL,17,20,2,0,0,0.56,0.03,40.7457,-89.4,40.7482,-89.385,0.8,250,1,1,1,179,0,0,0
547,2010,6,5,6/5/2010,19:53:00,3,IL,17,21,2,0,0,0.07,0,40.7482,-89.385,40.755,-89.3424,2.28,250,1,1,1,203,0,0,0
548,2010,6,5,6/5/2010,19:58:00,3,IL,17,22,3,0,0,0.75,0,41.0998,-88.7302,41.0933,-88.5663,8.55,440,1,1,1,105,0,0,0
549,2010,6,5,6/5/2010,20:12:00,3,IL,17,23,2,13,1,3,0,41.0876,-88.5213,41.0867,-88.4068,5.96,300,1,1,1,105,0,0,0
550,2010,6,5,6/5/2010,20:16:00,3,IL,17,24,0,0,0,0.1,0,41.1032,-88.4914,41.0989,-88.4466,2.35,20,1,1,1,105,0,0,0
551,2010,6,5,6/5/2010,20:31:00,3,IL,17,25,0,0,0,0.02,0,41.0819,-88.3435,41.0821,-88.2702,3.82,20,1,1,1,105,0,0,0
552,2010,6,5,6/5/2010,20:38:00,3,OH,39,10,2,0,0,0.5,0,41.4879,-84.0131,41.526,-83.8828,7.24,700,1,1,1,51,0,0,0
553,2010,6,5,6/5/2010,21:00:00,3,OH,39,11,1,0,0,0.075,0,41.53,-83.87,41.55,-83.81,3.4,100,1,1,1,95,0,0,0
554,2010,6,5,6/5/2010,21:02:00,3,IL,17,26,1,0,0,0.5,0,41.0785,-87.9699,41.0787,-87.9581,0.62,30,1,1,1,91,0,0,0
555,2010,6,5,6/5/2010,21:08:00,3,IL,17,27,0,0,0,0.002,0,40.8176,-88.4182,40.8178,-88.416,0.39,50,1,1,1,105,0,0,0
556,2010,6,5,6/5/2010,21:18:00,3,IL,17,28,3,1,0,0.6,0,41.0636,-87.7523,41.0826,-87.6057,7.75,175,1,1,1,91,0,0,0
557,2010,6,5,6/5/2010,21:19:00,3,IL,17,29,1,0,0,0.075,0,41.0734,-87.741,41.0738,-87.7303,0.56,50,1,1,1,91,0,0,0
558,2010,6,5,6/5/2010,21:20:00,3,OH,39,12,4,28,7,102.4,0,41.5512,-83.538,41.5723,-83.3709,8.8,400,1,1,1,173,123,0,0
559,2010,6,5,6/5/2010,21:28:00,3,MI,26,2,2,0,0,0.15,0,41.9792,-86.4982,41.9936,-86.4353,3.38,200,1,1,1,21,0,0,0
560,2010,6,5,6/5/2010,21:36:00,3,MI,26,3,1,0,0,0.1,0,41.9857,-86.4199,41.9845,-86.3918,1.44,100,1,1,1,21,0,0,0
561,2010,6,5,6/5/2010,21:57:00,3,IL,17,30,0,0,0,0.08,0.015,40.1212,-89.2471,40.0858,-89.1453,5.91,300,1,1,1,107,0,0,0
562,2010,6,5,6/5/2010,21:59:00,3,MI,26,4,2,0,0,0.1,0,41.962,-86.092,41.9523,-86.0405,2.73,200,1,1,1,27,0,0,0
563,2010,6,5,6/5/2010,22:03:00,3,MI,26,5,1,0,0,2,0,42.2902,-85.1993,42.2893,-85.1677,1.62,300,1,1,1,25,0,0,0
564,2010,6,5,6/5/2010,22:06:00,3,IL,17,31,0,0,0,0.09,0,40.0858,-89.1453,40.0624,-89.0376,5.92,300,1,1,1,39,0,0,0
565,2010,6,5,6/5/2010,22:32:00,3,MI,26,6,2,0,0,0.3,0,41.8172,-85.6873,41.7803,-85.4865,10.65,200,1,1,1,149,0,0,0
566,2010,6,5,6/5/2010,23:03:00,3,IN,18,2,1,2,0,0.6,0.005,40.6856,-86.8132,40.6563,-86.576,12.6,150,1,1,1,181,15,0,0
567,2010,6,5,6/5/2010,23:25:00,3,IN,18,3,1,1,0,0.185,0.002,40.6488,-86.4285,40.6337,-86.3103,6.29,150,1,1,1,15,17,0,0
568,2010,6,5,6/5/2010,23:41:00,3,IN,18,4,3,1,0,0.875,0,40.6382,-86.1844,40.6258,-86.0457,7.45,250,1,1,1,17,103,0,0
569,2010,6,5,6/5/2010,23:48:00,3,MI,26,7,1,0,0,0.5,0,41.9577,-84.2174,41.9541,-84.1694,2.48,250,1,1,1,91,0,0,0
570,2010,6,6,6/6/2010,0:10:00,3,PA,42,2,0,0,0,0.2,0,41.999,-80.4069,42.0119,-80.2953,5.8,50,1,1,1,49,0,0,0
571,2010,6,6,6/6/2010,0:11:00,3,MI,26,8,2,11,0,50,0,41.9663,-83.7692,41.9447,-83.5177,13.01,800,1,1,1,115,0,0,0
572,2010,6,6,6/6/2010,0:33:00,3,MI,26,9,1,0,0,10,0,41.9359,-83.3274,41.9802,-83.2393,5.15,500,1,1,1,115,0,0,0
573,2010,6,6,6/6/2010,3:34:00,3,OH,39,13,0,0,0,0.064,0,40.2191,-83.4243,40.224,-83.3604,3.39,100,1,1,1,159,0,0,0
574,2010,6,6,6/6/2010,4:01:00,3,OH,39,14,1,0,0,0.5,0,41.5909,-80.6307,41.6087,-80.5475,4.47,100,1,1,1,7,0,0,0
575,2010,6,6,6/6/2010,4:45:00,3,PA,42,3,0,0,0,0.03,0,41.7191,-79.6311,41.7216,-79.6218,0.51,20,1,1,1,39,0,0,0
576,2010,6,6,6/6/2010,5:05:00,3,PA,42,4,0,0,0,0.1,0,41.3565,-80.3977,41.36,-80.34,3,80,1,1,1,85,0,0,0
577,2010,6,6,6/6/2010,17:02:00,3,IN,18,5,0,0,0,0.003,0,40.1797,-85.4339,40.1797,-85.4339,0.1,25,1,1,1,35,0,0,0
578,2010,6,6,6/6/2010,20:31:00,3,NE,31,14,0,0,0,0,0,40.52,-101.56,40.4919,-101.549,2.02,20,1,1,1,29,0,0,0
579,2010,6,7,6/7/2010,18:20:00,3,NE,31,15,0,0,0,0,0,42.01,-103.66,42.01,-103.66,0.5,100,1,1,1,165,0,0,0
580,2010,6,7,6/7/2010,19:11:00,3,ND,38,6,0,0,0,0.05,0,46.2228,-103.65,46.2095,-103.62,1.69,25,1,1,1,11,0,0,0
581,2010,6,7,6/7/2010,19:23:00,3,NE,31,16,1,0,0,0.06,0,41.87,-103.645,41.7193,-103.361,21,100,1,1,1,157,123,0,0
582,2010,6,7,6/7/2010,19:24:00,3,NE,31,17,0,0,0,0,0,42.1205,-102.908,42.1205,-102.908,2,100,1,1,1,13,0,0,0
583,2010,6,7,6/7/2010,19:25:00,3,NE,31,18,0,0,0,0,0,41.82,-103.631,41.82,-103.631,0.25,100,1,1,1,157,0,0,0
584,2010,6,7,6/7/2010,19:28:00,3,NE,31,19,0,0,0,0,0,41.8698,-103.614,41.8698,-103.614,0.25,100,1,1,1,157,0,0,0
585,2010,6,7,6/7/2010,20:12:00,3,ND,38,7,0,0,0,0,0,46.1217,-103.415,46.1205,-103.409,0.29,25,1,1,1,11,0,0,0
586,2010,6,7,6/7/2010,20:28:00,3,NE,31,20,0,0,0,0,0,41.5488,-102.782,41.5488,-102.782,1,100,1,1,1,123,0,0,0
587,2010,6,8,6/8/2010,9:57:00,3,TX,48,68,0,0,0,0.25,0,29.7292,-94.9432,29.7302,-94.9412,0.14,10,1,1,1,201,0,0,0
588,2010,6,8,6/8/2010,15:55:00,3,KS,20,55,0,0,0,0,0,38.4996,-95.6748,38.5014,-95.6684,0.37,30,1,1,1,139,0,0,0
589,2010,6,8,6/8/2010,16:39:00,3,MO,29,34,0,0,0,0.01,0,38.64,-94.35,38.6386,-94.3128,2.1,20,1,1,1,37,0,0,0
590,2010,6,8,6/8/2010,16:55:00,3,KS,20,56,0,0,0,0,0,38.46,-95.44,38.4601,-95.4397,0.02,25,1,1,1,59,0,0,0
591,2010,6,8,6/8/2010,17:02:00,3,IA,19,6,0,0,0,0,0,42.1558,-93.6112,42.155,-93.6028,0.44,20,1,1,1,169,0,0,0
592,2010,6,8,6/8/2010,17:34:00,3,IA,19,7,0,0,0,0,0,42.1335,-93.302,42.1329,-93.2973,0.24,20,1,1,1,169,0,0,0
593,2010,6,8,6/8/2010,18:29:00,3,KS,20,57,0,0,0,0,0,38.08,-95.88,38.0801,-95.8799,0.01,25,1,1,1,31,0,0,0
594,2010,6,8,6/8/2010,18:47:00,3,KS,20,58,0,0,0,0.0005,0,38.1688,-95.3319,38.1691,-95.3307,0.07,25,1,1,1,3,0,0,0
595,2010,6,8,6/8/2010,20:29:00,3,CO,8,51,0,0,0,0,0,39.261,-104.129,39.261,-104.129,0.1,50,1,1,1,39,0,0,0
596,2010,6,9,6/9/2010,4:32:00,3,TX,48,69,1,0,0,0.1,0,30.0104,-94.4157,30.0487,-94.4026,2.76,100,1,1,1,245,0,0,0
597,2010,6,9,6/9/2010,17:10:00,3,KY,21,12,0,0,0,0,0,37.0898,-85.3512,37.094,-85.3418,0.6,40,1,1,1,1,0,0,0
598,2010,6,10,6/10/2010,9:56:00,3,TX,48,70,1,0,0,0.075,0,31.312,-95.6555,31.351,-95.6418,2.81,75,1,1,1,225,0,0,0
599,2010,6,10,6/10/2010,10:29:00,3,TX,48,71,0,0,0,0.01,0,31.4527,-95.4753,31.4705,-95.4619,1.46,25,1,1,1,225,0,0,0
600,2010,6,10,6/10/2010,18:52:00,3,CO,8,52,0,0,0,0,0,39.66,-103.99,39.66,-103.99,0.1,50,1,1,1,5,0,0,0
601,2010,6,10,6/10/2010,19:20:00,3,CO,8,53,0,0,0,0,0,40.06,-104.42,40.06,-104.42,0.1,50,1,1,1,123,0,0,0
602,2010,6,10,6/10/2010,19:46:00,3,CO,8,54,0,0,0,0,0,39.73,-103.56,39.73,-103.56,0.1,100,1,1,1,121,0,0,0
603,2010,6,10,6/10/2010,21:27:00,3,CO,8,55,0,0,0,0,0,39.8892,-103.048,39.8892,-103.048,0.1,50,1,1,1,121,0,0,0
604,2010,6,11,6/11/2010,15:33:00,3,OH,39,15,0,0,0,0,0,40.7464,-84.13,40.7475,-84.1281,0.13,25,1,1,1,3,0,0,0
605,2010,6,11,6/11/2010,17:27:00,3,CO,8,56,0,0,0,0,0,39.13,-103.93,39.13,-103.93,0.1,50,1,1,1,39,0,0,0
606,2010,6,11,6/11/2010,19:10:00,3,CO,8,57,0,0,0,0,0,39.3301,-103.392,39.3301,-103.392,0.1,50,1,1,1,73,0,0,0
607,2010,6,11,6/11/2010,19:15:00,3,KS,20,59,1,0,0,0.1,0,39.5143,-100.253,39.5646,-100.255,3.48,50,1,1,1,179,0,0,0
608,2010,6,11,6/11/2010,19:17:00,3,KS,20,60,0,0,0,0,0,39.5143,-100.253,39.5109,-100.253,0.23,25,1,1,1,179,0,0,0
609,2010,6,11,6/11/2010,20:00:00,3,KS,20,61,0,0,0,0,0,39.5586,-100.3,39.5671,-100.305,0.66,25,1,1,1,179,0,0,0
610,2010,6,11,6/11/2010,20:00:00,3,KS,20,62,0,0,0,0,0,39.5588,-100.296,39.5675,-100.302,0.67,25,1,1,1,179,0,0,0
611,2010,6,11,6/11/2010,21:03:00,3,NE,31,21,0,0,0,0,0,40.4842,-99.85,40.4842,-99.85,0.1,20,1,1,1,73,0,0,0
612,2010,6,11,6/11/2010,23:00:00,3,NE,31,22,0,0,0,0,0,41.15,-101.11,41.15,-101.11,0.1,10,1,1,1,111,0,0,0
613,2010,6,11,6/11/2010,23:15:00,3,NE,31,23,0,0,0,0,0,41.13,-100.89,41.13,-100.89,0.1,10,1,1,1,111,0,0,0
614,2010,6,12,6/12/2010,14:14:00,3,TX,48,72,0,0,0,0,0,35.9042,-101.73,35.9057,-101.72,0.56,25,1,1,1,341,0,0,0
615,2010,6,12,6/12/2010,16:53:00,3,KS,20,63,1,0,0,0.002,0,38.3885,-98.8189,38.3942,-98.8081,0.7,75,1,1,1,9,0,0,0
616,2010,6,12,6/12/2010,17:06:00,3,KS,20,64,0,0,0,0,0,38.43,-98.81,38.434,-98.8021,0.51,50,1,1,1,9,0,0,0
617,2010,6,12,6/12/2010,17:32:00,3,KS,20,65,0,0,0,0,0,38.49,-98.58,38.4945,-98.574,0.45,50,1,1,1,9,0,0,0
618,2010,6,12,6/12/2010,17:56:00,3,KS,20,66,0,0,0,0,0,38.49,-98.42,38.4939,-98.4142,0.42,50,1,1,1,159,0,0,0
619,2010,6,12,6/12/2010,18:03:00,3,KS,20,67,1,0,0,0.01,0,38.4783,-98.3529,38.4945,-98.3256,1.85,75,1,1,1,159,0,0,0
620,2010,6,12,6/12/2010,18:26:00,3,IN,18,6,0,0,0,0.025,0,39.4407,-86.6078,39.4462,-86.4992,5.81,75,1,1,1,109,0,0,0
621,2010,6,13,6/13/2010,14:52:00,3,OK,40,94,0,0,0,0,0,36.53,-100.55,36.556,-100.464,5.11,25,1,1,1,7,0,0,0
622,2010,6,13,6/13/2010,15:17:00,3,OK,40,95,0,0,0,0,0,36.62,-100.322,36.6316,-100.268,3.07,25,1,1,1,7,0,0,0
623,2010,6,13,6/13/2010,15:22:00,3,OK,40,96,0,0,0,0,0,36.62,-100.3,36.6288,-100.256,2.51,25,1,1,1,7,0,0,0
624,2010,6,13,6/13/2010,15:41:00,3,OK,40,97,0,0,0,0,0,36.6588,-100.237,36.6686,-100.188,2.79,25,1,1,1,7,0,0,0
625,2010,6,13,6/13/2010,16:24:00,3,TX,48,73,0,0,0,0,0,36.18,-100.53,36.1822,-100.525,0.32,25,1,1,1,295,0,0,0
626,2010,6,13,6/13/2010,17:33:00,3,NE,31,24,1,0,0,0,0,40.0457,-99.7657,40.0645,-99.7428,1.78,300,1,1,1,65,0,0,0
627,2010,6,14,6/14/2010,13:40:00,3,TX,48,74,0,0,0,0,0,33.2901,-101.733,33.2911,-101.73,0.2,40,1,1,1,305,0,0,0
628,2010,6,14,6/14/2010,16:00:00,3,TX,48,75,0,0,0,0,0,32.711,-102.046,32.7142,-102.037,0.56,50,1,1,1,115,0,0,0
629,2010,6,16,6/16/2010,17:00:00,3,MT,30,2,2,0,0,0.012,0,45.18,-108.69,45.2,-108.68,1,75,1,1,1,9,0,0,0
630,2010,6,16,6/16/2010,17:04:00,3,SD,46,16,0,0,0,0,0,44.9487,-101.77,44.9487,-101.77,0.01,20,1,1,1,137,0,0,0
631,2010,6,16,6/16/2010,17:30:00,3,SD,46,17,0,0,0,0,0,45.01,-101.77,45.01,-101.77,0.1,30,1,1,1,137,0,0,0
632,2010,6,16,6/16/2010,18:22:00,3,SD,46,18,1,0,0,0.01,0,45.0291,-101.681,45.0551,-101.653,2.26,450,1,1,1,137,0,0,0
633,2010,6,16,6/16/2010,18:33:00,3,SD,46,19,2,2,0,0.75,0,45.0356,-101.613,45.0553,-101.608,1.38,450,1,1,1,137,0,0,0
634,2010,6,16,6/16/2010,18:40:00,3,SD,46,20,0,0,0,0,0,45.0604,-101.609,45.0604,-101.609,0.05,30,1,1,1,137,0,0,0
635,2010,6,16,6/16/2010,18:53:00,3,SD,46,21,0,0,0,0,0,45.09,-101.64,45.09,-101.64,0.05,30,1,1,1,137,0,0,0
636,2010,6,16,6/16/2010,19:35:00,3,SD,46,22,2,0,0,0,0,45.06,-101.33,45.0581,-101.322,0.4,50,1,1,1,41,0,0,0
637,2010,6,16,6/16/2010,20:56:00,3,MT,30,3,1,0,0,0.03,0,47.9946,-106.085,48.0313,-106.072,2.61,17,1,1,1,55,0,0,0
638,2010,6,17,6/17/2010,10:35:00,3,ND,38,8,1,0,0,0.025,0,45.9918,-102.642,45.9973,-102.632,0.62,20,1,1,1,1,0,0,0
639,2010,6,17,6/17/2010,13:31:00,3,ND,38,9,0,0,0,0,0,48.89,-102.92,48.94,-102.93,3.48,25,1,1,1,13,0,0,0
640,2010,6,17,6/17/2010,13:55:00,3,ND,38,10,0,0,0,0,0,46.7971,-99.2611,46.8311,-99.2306,2.76,25,1,1,1,93,0,0,0
641,2010,6,17,6/17/2010,14:28:00,3,MN,27,3,0,0,0,0,0,47.22,-96.2,47.2479,-96.1912,1,25,1,1,1,107,0,0,0
642,2010,6,17,6/17/2010,14:38:00,3,ND,38,11,0,0,0,0,0,47.58,-97.8,47.6403,-97.7761,4.32,30,1,1,1,91,0,0,0
643,2010,6,17,6/17/2010,14:43:00,3,MN,27,4,4,5,1,0,0,46.087,-95.437,46.6147,-95.25,39.56,2288,1,1,1,41,111,0,0
644,2010,6,17,6/17/2010,14:44:00,3,ND,38,12,0,0,0,0,0,47.1905,-98.8899,47.1946,-98.8839,0.4,25,1,1,1,93,0,0,0
645,2010,6,17,6/17/2010,14:49:00,3,ND,38,13,4,1,0,0,0,47.54,-97.3,47.78,-97.3154,17,150,1,1,1,97,35,0,0
646,2010,6,17,6/17/2010,14:55:00,3,MN,27,5,0,0,0,0,0,46.67,-95.75,46.67,-95.75,0.2,15,1,1,1,111,0,0,0
647,2010,6,17,6/17/2010,15:00:00,3,MN,27,6,0,0,0,0,0,47.44,-95.91,47.5368,-95.8489,6,40,1,1,1,87,119,0,0
648,2010,6,17,6/17/2010,15:01:00,3,ND,38,14,1,0,0,0,0,47.01,-98.11,47.025,-98.11,1,100,1,1,1,3,0,0,0
649,2010,6,17,6/17/2010,15:05:00,3,ND,38,15,0,0,0,0,0,47.17,-98.23,47.17,-98.23,0.2,15,1,1,1,3,0,0,0
650,2010,6,17,6/17/2010,15:27:00,3,ND,38,16,0,0,0,0,0,47.83,-98.88,47.86,-98.88,1.2,15,1,1,1,27,5,0,0
651,2010,6,17,6/17/2010,15:28:00,3,ND,38,17,2,0,0,0,0,47.31,-97.78,47.4145,-97.8,7,75,1,1,1,91,0,0,0
652,2010,6,17,6/17/2010,15:30:00,3,ND,38,18,1,0,0,0,0,47.25,-97.67,47.3507,-97.6847,7,50,1,1,1,91,0,0,0
653,2010,6,17,6/17/2010,15:31:00,3,ND,38,19,2,0,0,0,0,47.9,-97.3,48.02,-97.3484,7,100,1,1,1,35,0,0,0
654,2010,6,17,6/17/2010,15:32:00,3,MN,27,7,1,0,0,0,0,47.18,-95.38,47.2042,-95.38,1,40,1,1,1,29,0,0,0
655,2010,6,17,6/17/2010,15:40:00,3,ND,38,20,2,0,0,0,0,47.35,-97.62,47.3643,-97.5721,3,75,1,1,1,91,0,0,0
656,2010,6,17,6/17/2010,15:41:00,3,MN,27,8,1,0,0,0,0,47.34,-95.49,47.38,-95.49,3,30,1,1,1,29,0,0,0
657,2010,6,17,6/17/2010,15:47:00,3,ND,38,21,1,0,0,0,0,47.96,-97.21,48.07,-97.1917,10,50,1,1,1,35,0,0,0
658,2010,6,17,6/17/2010,15:48:00,3,MN,27,9,1,0,0,0,0,46.2963,-95.23,46.315,-95.213,1.52,40,1,1,1,111,0,0,0
659,2010,6,17,6/17/2010,15:59:00,3,MN,27,10,4,20,0,0,0,46.41,-95.18,46.5216,-95.026,10,1936,1,1,1,111,159,0,0
660,2010,6,17,6/17/2010,16:02:00,3,ND,38,22,0,0,0,0,0,47.63,-97.57,47.6631,-97.5289,2.98,50,1,1,1,91,0,0,0
661,2010,6,17,6/17/2010,16:05:00,3,MN,27,11,0,0,0,0,0,43.5331,-94.148,43.5714,-94.147,2.65,75,1,1,1,43,0,0,0
662,2010,6,17,6/17/2010,16:07:00,3,MN,27,12,1,0,0,0,0,48.1,-95.78,48.1398,-95.7847,2,30,1,1,1,113,0,0,0
663,2010,6,17,6/17/2010,16:11:00,3,IA,19,8,0,0,0,0,0.005,43.3737,-94.1649,43.3808,-94.1551,0.69,20,1,1,1,109,0,0,0
664,2010,6,17,6/17/2010,16:15:00,3,ND,38,23,0,0,0,0,0,48.16,-97.97,48.1767,-97.9134,3,25,1,1,1,63,0,0,0
665,2010,6,17,6/17/2010,16:17:00,3,MN,27,13,1,0,0,0,0,47.16,-95.15,47.2222,-95.0787,6,80,1,1,1,57,0,0,0
666,2010,6,17,6/17/2010,16:21:00,3,ND,38,24,1,0,0,0,0,48.25,-97.16,48.27,-97.13,1,50,2,1,2,99,0,0,0
666,2010,6,17,6/17/2010,16:23:00,3,MN,27,14,1,0,0,0,0,48.27,-97.13,48.3,-97.0874,4,50,2,1,2,89,0,0,0
667,2010,6,17,6/17/2010,16:22:00,3,ND,38,25,0,0,0,0,0,48.08,-97.64,48.0921,-97.65,1,25,1,1,1,35,0,0,0
668,2010,6,17,6/17/2010,16:23:00,3,MN,27,15,0,0,0,0,0,44.9689,-94.0823,44.9773,-94.0716,0.78,25,1,1,1,85,0,0,0
669,2010,6,17,6/17/2010,16:24:00,3,IA,19,9,0,0,0,0,0,43.457,-94.0286,43.4638,-94.0191,0.67,20,1,1,1,109,0,0,0
670,2010,6,17,6/17/2010,16:29:00,3,MN,27,16,1,0,0,0,0,47.64,-95.43,47.6566,-95.43,1,40,1,1,1,29,0,0,0
671,2010,6,17,6/17/2010,16:30:00,3,MN,27,17,0,0,0,0.002,0,46.61,-94.88,46.749,-94.648,14.76,200,1,1,1,159,21,0,0
672,2010,6,17,6/17/2010,16:30:00,3,ND,38,26,0,0,0,0,0,47.76,-97.15,47.8602,-97.1153,8,30,1,1,1,35,0,0,0
673,2010,6,17,6/17/2010,16:37:00,3,MN,27,18,0,0,0,0,0,44.1002,-93.8794,44.1438,-93.8806,3.02,50,1,1,1,13,0,0,0
674,2010,6,17,6/17/2010,16:37:00,3,ND,38,27,0,0,0,0,0,48.09,-97.48,48.1201,-97.4949,2,25,1,1,1,35,0,0,0
675,2010,6,17,6/17/2010,16:40:00,3,MN,27,19,0,0,0,0,0,43.5275,-94.0344,43.5513,-94.0235,1.73,20,1,1,1,43,0,0,0
676,2010,6,17,6/17/2010,16:41:00,3,ND,38,28,1,0,0,0,0,48.2,-97.85,48.2311,-97.8201,2,50,1,1,1,99,0,0,0
677,2010,6,17,6/17/2010,16:44:00,3,MN,27,20,1,0,0,0,0,48.46,-95.62,48.55,-95.5781,4,40,1,1,1,89,135,0,0
678,2010,6,17,6/17/2010,16:45:00,3,ND,38,29,1,0,0,0,0,48.09,-97.69,48.15,-97.7151,4,75,1,1,1,35,0,0,0
679,2010,6,17,6/17/2010,16:48:00,3,MN,27,21,0,0,0,0,0,47.2,-94.91,47.2402,-94.9151,4,30,1,1,1,57,0,0,0
680,2010,6,17,6/17/2010,16:49:00,3,MN,27,22,0,0,0,0,0,47.15,-94.8,47.16,-94.78,1,30,1,1,1,57,0,0,0
681,2010,6,17,6/17/2010,16:50:00,3,MN,27,23,1,0,0,0,0,47.84,-96.82,47.9303,-96.82,7,150,1,1,1,119,0,0,0
682,2010,6,17,6/17/2010,16:54:00,3,MN,27,24,0,0,0,0,0,45.4874,-93.9612,45.4883,-93.9612,0.06,10,1,1,1,141,0,0,0
683,2010,6,17,6/17/2010,16:56:00,3,MN,27,25,0,0,0,0,0,45.4836,-93.9543,45.5197,-93.9637,2.54,30,1,1,1,141,0,0,0
684,2010,6,17,6/17/2010,17:00:00,3,MN,27,26,0,0,0,0,0,45.201,-93.868,45.2721,-93.8378,5.13,50,1,1,1,171,0,0,0
685,2010,6,17,6/17/2010,17:00:00,3,MN,27,27,1,0,0,0,0,47.78,-96.49,47.8102,-96.4652,3,150,1,1,1,119,0,0,0
686,2010,6,17,6/17/2010,17:05:00,3,IA,19,10,0,0,0,0,0,43.4896,-93.8661,43.4985,-93.8381,1.53,30,1,1,1,189,0,0,0
